DATE,DRUG,COUNT,OUTCOME,PRR,ROR
20130210,1119119,313.0,35809005,5.5548230240,5.7977779671
20130310,1119119,313.0,35809005,6.1819787844,6.4487045465
20130401,1119119,313.0,35809005,6.6125499881,6.8923728849
20130501,1119119,313.0,35809005,6.9187083812,7.2030171171
20130601,1119119,313.0,35809005,7.1098072368,7.3904602549
20130701,1119119,314.0,35809005,7.2857649147,7.5622364350
20130801,1119119,314.0,35809005,7.4965967410,7.7710023607
20130901,1119119,314.0,35809005,7.5621761922,7.8258050720
20131001,1119119,314.0,35809005,7.2049986498,7.4439158265
20131101,1119119,314.0,35809005,6.8271289215,7.0439459000
20131201,1119119,314.0,35809005,6.8560666444,7.0681548712
20140101,1119119,314.0,35809005,7.0633864208,7.2773802768
20140210,1119119,314.0,35809005,7.1017530173,7.3086367715
20140310,1119119,1150.0,35809005,9.1609343043,9.6041910204
20140401,1119119,1150.0,35809005,9.4381259971,9.8922132641
20140501,1119119,1150.0,35809005,9.5895200473,10.0461348513
20140601,1119119,1150.0,35809005,9.7644020614,10.2232921711
20140701,1119119,1150.0,35809005,9.8509524375,10.3069826930
20140801,1119119,1150.0,35809005,9.9625907945,10.4165827521
20140901,1119119,1150.0,35809005,10.0677941541,10.5213021683
20141001,1119119,1150.0,35809005,10.1381242820,10.5877196839
20141101,1119119,1151.0,35809005,10.2024542062,10.6483590977
20141201,1119119,1151.0,35809005,10.2176684920,10.6560972054
20150101,1119119,1151.0,35809005,10.2775171905,10.7118289116
20150210,1119119,1151.0,35809005,10.3791905876,10.8086550569
20150310,1119119,2015.0,35809005,10.5918681507,11.0970331879
20150401,1119119,2015.0,35809005,10.7141170171,11.2210564605
20150501,1119119,2015.0,35809005,10.8086568411,11.3139991625
20150601,1119119,2015.0,35809005,11.0637725123,11.5763347955
20150701,1119119,2019.0,35809005,11.0524692521,11.5585644424
20150801,1119119,2021.0,35809005,11.1744502372,11.6810296250
20150901,1119119,2026.0,35809005,11.4347335509,11.9487073468
20151001,1119119,2028.0,35809005,11.4732696113,11.9819705615
20151101,1119119,2033.0,35809005,11.4913319886,11.9946683410
20151201,1119119,2038.0,35809005,11.6265422104,12.1298631415
20160101,1119119,2040.0,35809005,11.6533819114,12.1509299677
20160210,1119119,4218.0,35809005,12.0394740019,12.6169394186
20160310,1119119,4231.0,35809005,12.1426411124,12.7192548347
20160401,1119119,4233.0,35809005,12.1839436075,12.7584640474
20160501,1119119,4234.0,35809005,12.2112822097,12.7829516127
20160601,1119119,4236.0,35809005,12.2709791896,12.8411369179
20160701,1119119,4236.0,35809005,12.3308243209,12.8996011683
20160801,1119119,4236.0,35809005,12.4226540786,12.9922806876
20160901,1119119,4236.0,35809005,12.4986042467,13.0673050639
20161001,1119119,4236.0,35809005,12.5478786633,13.1136002484
20161101,1119119,4236.0,35809005,12.6165921157,13.1809480182
20161201,1119119,4236.0,35809005,12.6504533473,13.2121702129
20170101,1119119,4237.0,35809005,12.6880734595,13.2469031245
20170210,1119119,4321.0,35809005,12.4993803872,13.0369578521
20170310,1119119,4321.0,35809005,12.4152022661,12.9434608526
20170401,1119119,4321.0,35809005,12.4017353408,12.9256339191
20170501,1119119,4321.0,35809005,12.4055754809,12.9247534896
20170601,1119119,4321.0,35809005,12.3530523901,12.8636963025
20170701,1119119,4322.0,35809005,12.3255159258,12.8301123407
20170801,1119119,4322.0,35809005,12.1669128702,12.6594719091
20170901,1119119,4322.0,35809005,12.0469410004,12.5288717464
20171001,1119119,4322.0,35809005,12.0729674436,12.5514549687
20171101,1119119,4322.0,35809005,12.1008251085,12.5761207320
20171201,1119119,4322.0,35809005,12.0740450919,12.5424677593
20180101,1119119,4322.0,35809005,12.1263064214,12.5930704410
20180210,1119119,4322.0,35809005,12.1263064214,12.5930704410
20180310,1119119,4322.0,35809005,12.1263064214,12.5930704410
20180401,1119119,4322.0,35809005,12.1263064214,12.5930704410
20180501,1119119,4322.0,35809005,12.1263064214,12.5930704410
20180601,1119119,4322.0,35809005,12.1263064214,12.5930704410
20180701,1119119,4322.0,35809005,12.1263064214,12.5930704410
20180801,1119119,4322.0,35809005,12.1263064214,12.5930704410
20180901,1119119,4322.0,35809005,12.1263064214,12.5930704410
20181001,1119119,4322.0,35809005,12.1263064214,12.5930704410
20181101,1119119,4322.0,35809005,12.1263064214,12.5930704410
20181201,1119119,4322.0,35809005,12.1263064214,12.5930704410
