DATE,DRUG,COUNT,OUTCOME,PRR,ROR
20130101,1547504,90.0,35205189,28.4669602437,31.0393082374
20130210,1547504,118.0,35205189,31.0563473020,33.8578077930
20130310,1547504,152.0,35205189,33.2179641476,36.4762013734
20130401,1547504,190.0,35205189,35.7636894037,39.7426659017
20130501,1547504,228.0,35205189,36.7177668933,41.0564194514
20130601,1547504,287.0,35205189,39.8040622297,45.0871579887
20130701,1547504,322.0,35205189,39.7054471149,45.0407013833
20130801,1547504,620.0,35205189,32.4633614446,35.9486721638
20130901,1547504,629.0,35205189,31.7348829488,35.0565739066
20131001,1547504,634.0,35205189,31.8500230483,35.1505486326
20131101,1547504,641.0,35205189,32.8692610524,36.2785061015
20131201,1547504,648.0,35205189,32.6927751700,36.0600350995
20140101,1547504,656.0,35205189,32.2604156822,35.5000416992
20140210,1547504,677.0,35205189,31.4918231360,34.5491341939
20140310,1547504,687.0,35205189,31.1224102331,34.0956998639
20140401,1547504,698.0,35205189,31.0093513445,33.9599820303
20140501,1547504,749.0,35205189,31.2123270812,34.2295314790
20140601,1547504,767.0,35205189,31.2556598381,34.2507671040
20140701,1547504,906.0,35205189,33.6216156920,37.1958306898
20140801,1547504,1222.0,35205189,34.6146681504,38.5067587777
20140901,1547504,1446.0,35205189,37.8540968952,42.6387103007
20141001,1547504,1687.0,35205189,40.8635535594,46.5937695490
20141101,1547504,2034.0,35205189,44.6061032572,51.6728560279
20141201,1547504,2091.0,35205189,44.6860033364,51.7644561048
20150101,1547504,2475.0,35205189,48.0013700844,56.4690066369
20150210,1547504,4514.0,35205189,58.0542311515,72.3677308135
20150310,1547504,7259.0,35205189,62.7250330783,82.0572164979
20150401,1547504,7379.0,35205189,52.6785456683,65.5593424420
20150501,1547504,7379.0,35205189,53.2356188389,66.2517479515
20150601,1547504,7381.0,35205189,54.2145571947,67.4438144078
20150701,1547504,7384.0,35205189,54.8597863772,68.2449729217
20150801,1547504,7385.0,35205189,55.8126542646,69.4341992302
20150901,1547504,7385.0,35205189,57.7284034280,71.8250843161
20151001,1547504,7385.0,35205189,59.7126023692,74.2989095917
20151101,1547504,7385.0,35205189,60.6766853990,75.5020065438
20151201,1547504,7385.0,35205189,61.3045674202,76.2848637772
20160101,1547504,7385.0,35205189,62.0019488306,77.1539531395
20160210,1547504,7385.0,35205189,63.7790871340,79.3688365703
20160310,1547504,7385.0,35205189,61.1946239840,76.1395659279
20160401,1547504,7386.0,35205189,61.4746860043,76.4896796451
20160501,1547504,7386.0,35205189,62.0547360272,77.2137477354
20160601,1547504,7386.0,35205189,62.7559598224,78.0885598846
20160701,1547504,7386.0,35205189,63.2193665736,78.6670199910
20160801,1547504,7386.0,35205189,63.7761164967,79.3614743604
20160901,1547504,7386.0,35205189,64.0019925818,79.6423770000
20161001,1547504,7386.0,35205189,64.5835861315,80.3683524386
20161101,1547504,7386.0,35205189,65.1152942876,81.0320583238
20161201,1547504,7386.0,35205189,65.5772555405,81.6076248832
20170101,1547504,7386.0,35205189,66.0167932987,82.1557291180
20170210,1547504,7386.0,35205189,67.0038123106,83.3866519021
20170310,1547504,7386.0,35205189,65.8928239013,81.9977396412
20170401,1547504,7386.0,35205189,66.2858955779,82.4883627242
20170501,1547504,7386.0,35205189,66.9377259699,83.3014126850
20170601,1547504,7386.0,35205189,67.2314597105,83.6669375166
20170701,1547504,7386.0,35205189,67.9254145053,84.5325407118
20170801,1547504,7386.0,35205189,68.7349839315,85.5429997661
20170901,1547504,7386.0,35205189,69.3614073800,86.3237265559
20171001,1547504,7386.0,35205189,69.9220759007,87.0235121423
20171101,1547504,7386.0,35205189,70.6942879820,87.9873309839
20171201,1547504,7386.0,35205189,71.2656762825,88.7004962181
20180101,1547504,7386.0,35205189,71.6460836946,89.1752930260
20180210,1547504,7386.0,35205189,71.6460836946,89.1752930260
20180310,1547504,7386.0,35205189,71.6460836946,89.1752930260
20180401,1547504,7386.0,35205189,71.6460836946,89.1752930260
20180501,1547504,7386.0,35205189,71.6460836946,89.1752930260
20180601,1547504,7386.0,35205189,71.6460836946,89.1752930260
20180701,1547504,7386.0,35205189,71.6460836946,89.1752930260
20180801,1547504,7386.0,35205189,71.6460836946,89.1752930260
20180901,1547504,7386.0,35205189,71.6460836946,89.1752930260
20181001,1547504,7386.0,35205189,71.6460836946,89.1752930260
20181101,1547504,7386.0,35205189,71.6460836946,89.1752930260
20181201,1547504,7386.0,35205189,71.6460836946,89.1752930260
