DATE,DRUG,COUNT,OUTCOME,PRR,ROR
20040801,984232,12.0,36918942,37.7000659196,37.7000659196
20040901,984232,12.0,36918942,33.9353817186,33.9353817186
20041001,984232,12.0,36918942,35.5203966644,35.5203966644
20041101,984232,12.0,36918942,35.6754758318,35.6754758318
20041201,984232,12.0,36918942,33.7426548673,33.7426548673
20050101,984232,12.0,36918942,33.7074602963,33.7074602963
20050210,984232,13.0,36918942,34.6542758346,34.6542758346
20050310,984232,13.0,36918942,33.8017966591,33.8017966591
20050401,984232,13.0,36918942,34.5028374233,34.5028374233
20050501,984232,13.0,36918942,34.4014610390,34.4014610390
20050601,984232,13.0,36918942,32.0164783427,32.0164783427
20050701,984232,18.0,36918942,27.4880394507,27.4880394507
20050801,984232,18.0,36918942,27.4880394507,27.4880394507
20050901,984232,18.0,36918942,27.4880394507,27.4880394507
20051001,984232,18.0,36918942,27.4880394507,27.4880394507
20051101,984232,18.0,36918942,27.4880394507,27.4880394507
20051201,984232,18.0,36918942,27.4880394507,27.4880394507
