DATE,DRUG,COUNT,OUTCOME,PRR,ROR
20130701,735979,1.0,35506601,25.3476418261,25.3476418261
20130801,735979,1.0,35506601,24.7896072868,24.7896072868
20130901,735979,1.0,35506601,23.4372132374,23.4372132374
20131001,735979,2.0,35506601,43.9883743568,43.9883743568
20131101,735979,2.0,35506601,41.9105408494,41.9105408494
20131201,735979,2.0,35506601,39.8193947144,39.8193947144
20140101,735979,2.0,35506601,38.7129243827,38.7129243827
20140210,735979,3.0,35506601,54.4600861378,54.4600861378
20140310,735979,3.0,35506601,47.2655562165,47.2655562165
20140401,735979,3.0,35506601,44.7570939246,44.7570939246
20140501,735979,3.0,35506601,40.8852274151,40.8852274151
20140601,735979,3.0,35506601,38.7028341993,38.7028341993
20140701,735979,5.0,35506601,59.4927385200,59.4927385200
20140801,735979,5.0,35506601,58.8573836685,58.8573836685
20140901,735979,5.0,35506601,57.0880588278,57.0880588278
20141001,735979,6.0,35506601,67.3150106000,67.3150106000
20141101,735979,6.0,35506601,66.2084047860,66.2084047860
20141201,735979,6.0,35506601,63.5500000000,63.5500000000
20150101,735979,6.0,35506601,60.0161643263,60.0161643263
20150210,735979,6.0,35506601,57.1321439191,57.1321439191
20150310,735979,6.0,35506601,57.9063573399,57.9063573399
20150401,735979,6.0,35506601,55.7153246344,55.7153246344
20150501,735979,6.0,35506601,52.0686948220,52.0686948220
20150601,735979,103.0,35506601,345.9708035465,345.9708035465
20150701,735979,168.0,35506601,524.8179051086,524.8179051086
20150801,735979,168.0,35506601,500.9048176583,500.9048176583
20150901,735979,169.0,35506601,486.2403609184,486.2403609184
20151001,735979,169.0,35506601,485.5012947079,485.5012947079
20151101,735979,170.0,35506601,486.6203260547,486.6203260547
20151201,735979,171.0,35506601,484.9773329738,484.9773329738
20160101,735979,171.0,35506601,477.4803517759,477.4803517759
20160210,735979,172.0,35506601,473.2948270585,473.2948270585
20160310,735979,172.0,35506601,480.6768809387,480.6768809387
20160401,735979,173.0,35506601,481.9310010076,481.9310010076
20160501,735979,188.0,35506601,459.3907355306,459.3907355306
20160601,735979,188.0,35506601,456.2678481868,456.2678481868
20160701,735979,198.0,35506601,450.6714891358,450.6714891358
20160801,735979,198.0,35506601,452.8141083312,452.8141083312
20160901,735979,199.0,35506601,430.9011085789,430.9011085789
20161001,735979,199.0,35506601,431.5550476439,431.5550476439
20161101,735979,220.0,35506601,426.2842276765,426.2842276765
20161201,735979,220.0,35506601,429.4683009648,429.4683009648
20170101,735979,221.0,35506601,417.7311395283,417.7311395283
20170210,735979,223.0,35506601,416.9786810235,416.9786810235
20170310,735979,223.0,35506601,412.3507412755,412.3507412755
20170401,735979,223.0,35506601,410.4329428345,410.4329428345
20170501,735979,262.0,35506601,264.4871693143,264.4871693143
20170601,735979,269.0,35506601,239.0638577710,239.0638577710
20170701,735979,306.0,35506601,254.9535473511,254.9535473511
20170801,735979,306.0,35506601,212.4263858066,212.4263858066
20170901,735979,306.0,35506601,214.1401953034,214.1401953034
20171001,735979,315.0,35506601,216.6069454630,216.6069454630
20171101,735979,315.0,35506601,219.8430347200,219.8430347200
20171201,735979,320.0,35506601,210.4969166655,210.4969166655
20180101,735979,320.0,35506601,213.6639743377,213.6639743377
20180210,735979,320.0,35506601,213.6639743377,213.6639743377
20180310,735979,320.0,35506601,213.6639743377,213.6639743377
20180401,735979,320.0,35506601,213.6639743377,213.6639743377
20180501,735979,320.0,35506601,213.6639743377,213.6639743377
20180601,735979,320.0,35506601,213.6639743377,213.6639743377
20180701,735979,320.0,35506601,213.6639743377,213.6639743377
20180801,735979,320.0,35506601,213.6639743377,213.6639743377
20180901,735979,320.0,35506601,213.6639743377,213.6639743377
20181001,735979,320.0,35506601,213.6639743377,213.6639743377
20181101,735979,320.0,35506601,213.6639743377,213.6639743377
20181201,735979,320.0,35506601,213.6639743377,213.6639743377
