DATE,DRUG,COUNT,OUTCOME,PRR,ROR
20130701,19026972,326.0,35809059,2.2081538608,2.2081538608
20130801,19026972,353.0,35809059,2.3619062805,2.3619062805
20130901,19026972,381.0,35809059,2.4812653146,2.4812653146
20131001,19026972,434.0,35809059,2.8182329229,2.8182329229
20131101,19026972,492.0,35809059,3.2399082704,3.2399082704
20131201,19026972,528.0,35809059,3.4361504948,3.4361504948
20140101,19026972,568.0,35809059,3.4344569005,3.4344569005
20140210,19026972,629.0,35809059,3.6860627681,3.6860627681
20140310,19026972,666.0,35809059,3.3406535333,3.3406535333
20140401,19026972,696.0,35809059,3.4481727735,3.4481727735
20140501,19026972,736.0,35809059,3.5860268052,3.5860268052
20140601,19026972,767.0,35809059,3.6508956142,3.6508956142
20140701,19026972,809.0,35809059,3.6484394345,3.6484394345
20140801,19026972,836.0,35809059,3.6340311487,3.6340311487
20140901,19026972,861.0,35809059,3.6815878833,3.6815878833
20141001,19026972,893.0,35809059,3.7765216061,3.7765216061
20141101,19026972,945.0,35809059,3.9213378337,3.9213378337
20141201,19026972,980.0,35809059,3.9895577027,3.9895577027
20150101,19026972,1028.0,35809059,4.0979381296,4.0979381296
20150210,19026972,1091.0,35809059,4.0127542987,4.0127542987
20150310,19026972,1143.0,35809059,3.3535746198,3.3535746198
20150401,19026972,1168.0,35809059,3.3183923522,3.3183923522
20150501,19026972,1320.0,35809059,3.5271794823,3.5271794823
20150601,19026972,1369.0,35809059,3.5777583433,3.5777583433
20150701,19026972,1410.0,35809059,3.5551463159,3.5551463159
20150801,19026972,1436.0,35809059,3.5492084185,3.5492084185
20150901,19026972,1485.0,35809059,3.6277128023,3.6277128023
20151001,19026972,1529.0,35809059,3.6952716464,3.6952716464
20151101,19026972,1569.0,35809059,3.6882502644,3.6882502644
20151201,19026972,1633.0,35809059,3.7225250362,3.7225250362
20160101,19026972,1677.0,35809059,3.6801944685,3.6801944685
20160210,19026972,1747.0,35809059,3.7561969493,3.7561969493
20160310,19026972,1816.0,35809059,3.8135861667,3.8135861667
20160401,19026972,1856.0,35809059,3.8145601515,3.8145601515
20160501,19026972,1899.0,35809059,3.8171584641,3.8171584641
20160601,19026972,1950.0,35809059,3.8475612360,3.8475612360
20160701,19026972,1986.0,35809059,3.8224161049,3.8224161049
20160801,19026972,2034.0,35809059,3.8541522756,3.8541522756
20160901,19026972,2099.0,35809059,3.8977122507,3.8977122507
20161001,19026972,2161.0,35809059,3.9302832744,3.9302832744
20161101,19026972,2207.0,35809059,3.9311038034,3.9311038034
20161201,19026972,2256.0,35809059,3.8949207568,3.8949207568
20170101,19026972,2308.0,35809059,3.8507281813,3.8507281813
20170210,19026972,2384.0,35809059,3.7817039068,3.7817039068
20170310,19026972,2430.0,35809059,3.7779779005,3.7779779005
20170401,19026972,2475.0,35809059,3.7721140094,3.7721140094
20170501,19026972,2533.0,35809059,3.7797509526,3.7797509526
20170601,19026972,2634.0,35809059,3.8296341785,3.8296341785
20170701,19026972,2678.0,35809059,3.8369019746,3.8369019746
20170801,19026972,2730.0,35809059,3.8568894967,3.8568894967
20170901,19026972,2775.0,35809059,3.8613754932,3.8613754932
20171001,19026972,2827.0,35809059,3.8872536128,3.8872536128
20171101,19026972,2872.0,35809059,3.9078349029,3.9078349029
20171201,19026972,2924.0,35809059,3.9164267988,3.9164267988
20180101,19026972,2964.0,35809059,3.8984934500,3.8984934500
20180210,19026972,2964.0,35809059,3.8984934500,3.8984934500
20180310,19026972,2964.0,35809059,3.8984934500,3.8984934500
20180401,19026972,2964.0,35809059,3.8984934500,3.8984934500
20180501,19026972,2964.0,35809059,3.8984934500,3.8984934500
20180601,19026972,2964.0,35809059,3.8984934500,3.8984934500
20180701,19026972,2964.0,35809059,3.8984934500,3.8984934500
20180801,19026972,2964.0,35809059,3.8984934500,3.8984934500
20180901,19026972,2964.0,35809059,3.8984934500,3.8984934500
20181001,19026972,2964.0,35809059,3.8984934500,3.8984934500
20181101,19026972,2964.0,35809059,3.8984934500,3.8984934500
20181201,19026972,2964.0,35809059,3.8984934500,3.8984934500
