DATE,DRUG,COUNT,OUTCOME,PRR,ROR
20130701,1501700,7.0,35809076,3.0006475801,3.0006475801
20130801,1501700,11.0,35809076,3.0272952761,3.0272952761
20130901,1501700,12.0,35809076,3.1968071949,3.1968071949
20131001,1501700,13.0,35809076,3.3011025606,3.3011025606
20131101,1501700,14.0,35809076,3.5540402533,3.5540402533
20131201,1501700,14.0,35809076,3.5884319554,3.5884319554
20140101,1501700,14.0,35809076,3.5128463993,3.5128463993
20140210,1501700,14.0,35809076,3.4355691273,3.4355691273
20140310,1501700,15.0,35809076,3.4426566452,3.4426566452
20140401,1501700,16.0,35809076,3.6675354242,3.6675354242
20140501,1501700,16.0,35809076,3.6379908540,3.6379908540
20140601,1501700,16.0,35809076,3.6312754804,3.6312754804
20140701,1501700,16.0,35809076,3.6456473343,3.6456473343
20140801,1501700,20.0,35809076,3.2872404253,3.2872404253
20140901,1501700,20.0,35809076,3.2614713833,3.2614713833
20141001,1501700,20.0,35809076,3.2564281587,3.2564281587
20141101,1501700,20.0,35809076,3.2833973154,3.2833973154
20141201,1501700,20.0,35809076,3.3151344503,3.3151344503
20150101,1501700,20.0,35809076,3.3107542811,3.3107542811
20150210,1501700,20.0,35809076,3.2919877632,3.2919877632
20150310,1501700,20.0,35809076,3.2413362253,3.2413362253
20150401,1501700,20.0,35809076,3.2416814410,3.2416814410
20150501,1501700,20.0,35809076,3.2424523679,3.2424523679
20150601,1501700,20.0,35809076,3.2446081948,3.2446081948
20150701,1501700,20.0,35809076,3.1751897489,3.1751897489
20150801,1501700,25.0,35809076,3.2349892329,3.2349892329
20150901,1501700,25.0,35809076,3.1283226132,3.1283226132
20151001,1501700,25.0,35809076,3.0759087486,3.0759087486
20151101,1501700,25.0,35809076,3.0414733462,3.0414733462
20151201,1501700,25.0,35809076,2.9907352238,2.9907352238
20160101,1501700,25.0,35809076,2.9935780371,2.9935780371
20160210,1501700,25.0,35809076,2.7109610666,2.7109610666
20160310,1501700,25.0,35809076,2.6725229394,2.6725229394
20160401,1501700,25.0,35809076,2.6379169878,2.6379169878
20160501,1501700,25.0,35809076,2.5900292414,2.5900292414
20160601,1501700,25.0,35809076,2.4719513220,2.4719513220
20160701,1501700,25.0,35809076,2.4026474116,2.4026474116
20160801,1501700,28.0,35809076,2.3368003441,2.3368003441
20160901,1501700,28.0,35809076,2.2764343176,2.2764343176
20161001,1501700,28.0,35809076,2.2084938051,2.2084938051
20161101,1501700,28.0,35809076,2.1624197027,2.1624197027
20161201,1501700,28.0,35809076,2.1365062563,2.1365062563
20170101,1501700,28.0,35809076,2.1244030645,2.1244030645
20170210,1501700,28.0,35809076,2.0917635010,2.0917635010
20170310,1501700,28.0,35809076,2.0680106903,2.0680106903
20170401,1501700,28.0,35809076,2.0524251348,2.0524251348
20170501,1501700,28.0,35809076,2.0347285224,2.0347285224
20170601,1501700,28.0,35809076,1.9756998097,1.9756998097
20170701,1501700,28.0,35809076,1.9539399126,1.9539399126
20170801,1501700,30.0,35809076,1.8762457450,1.8762457450
20170901,1501700,31.0,35809076,1.8668709243,1.8668709243
20171001,1501700,43.0,35809076,2.0866428958,2.0866428958
20171101,1501700,46.0,35809076,1.8228993863,1.8228993863
20171201,1501700,46.0,35809076,1.6593194744,1.6593194744
20180101,1501700,46.0,35809076,1.6147158992,1.6147158992
20180210,1501700,46.0,35809076,1.6147158992,1.6147158992
20180310,1501700,46.0,35809076,1.6147158992,1.6147158992
20180401,1501700,46.0,35809076,1.6147158992,1.6147158992
20180501,1501700,46.0,35809076,1.6147158992,1.6147158992
20180601,1501700,46.0,35809076,1.6147158992,1.6147158992
20180701,1501700,46.0,35809076,1.6147158992,1.6147158992
20180801,1501700,46.0,35809076,1.6147158992,1.6147158992
20180901,1501700,46.0,35809076,1.6147158992,1.6147158992
20181001,1501700,46.0,35809076,1.6147158992,1.6147158992
20181101,1501700,46.0,35809076,1.6147158992,1.6147158992
20181201,1501700,46.0,35809076,1.6147158992,1.6147158992
