DATE,DRUG,COUNT,OUTCOME,PRR,ROR
20050101,984232,12.0,36918942,33.7074602963,33.7074602963
20050210,984232,13.0,36918942,34.6542758346,34.6542758346
20050310,984232,13.0,36918942,33.8017966591,33.8017966591
20050401,984232,13.0,36918942,34.5028374233,34.5028374233
20050501,984232,13.0,36918942,34.4014610390,34.4014610390
20050601,984232,13.0,36918942,32.0164783427,32.0164783427
20050701,984232,18.0,36918942,27.4880394507,27.4880394507
20050801,984232,18.0,36918942,27.4880394507,27.4880394507
20050901,984232,18.0,36918942,27.4880394507,27.4880394507
20051001,984232,18.0,36918942,27.4880394507,27.4880394507
20051101,984232,18.0,36918942,27.4880394507,27.4880394507
20051201,984232,18.0,36918942,27.4880394507,27.4880394507
20060101,984232,18.0,36918942,27.4880394507,27.4880394507
20060210,984232,18.0,36918942,27.4880394507,27.4880394507
20060310,984232,18.0,36918942,27.4880394507,27.4880394507
20060401,984232,18.0,36918942,27.4880394507,27.4880394507
20060501,984232,18.0,36918942,27.4880394507,27.4880394507
20060601,984232,18.0,36918942,27.4880394507,27.4880394507
20060701,984232,18.0,36918942,27.4880394507,27.4880394507
20060801,984232,18.0,36918942,27.4880394507,27.4880394507
20060901,984232,18.0,36918942,27.4880394507,27.4880394507
20061001,984232,18.0,36918942,27.4880394507,27.4880394507
20061101,984232,18.0,36918942,27.4880394507,27.4880394507
20061201,984232,18.0,36918942,27.4880394507,27.4880394507
20070101,984232,18.0,36918942,27.4880394507,27.4880394507
20070210,984232,18.0,36918942,27.4880394507,27.4880394507
20070310,984232,18.0,36918942,27.4880394507,27.4880394507
20070401,984232,18.0,36918942,27.4880394507,27.4880394507
20070501,984232,18.0,36918942,27.4880394507,27.4880394507
20070601,984232,18.0,36918942,27.4880394507,27.4880394507
20070701,984232,18.0,36918942,27.4880394507,27.4880394507
20070801,984232,18.0,36918942,27.4880394507,27.4880394507
20070901,984232,18.0,36918942,27.4880394507,27.4880394507
20071001,984232,18.0,36918942,27.4880394507,27.4880394507
20071101,984232,18.0,36918942,27.4880394507,27.4880394507
20071201,984232,18.0,36918942,27.4880394507,27.4880394507
20080101,984232,18.0,36918942,27.4880394507,27.4880394507
20080210,984232,18.0,36918942,27.4880394507,27.4880394507
20080310,984232,18.0,36918942,27.4880394507,27.4880394507
20080401,984232,18.0,36918942,27.4880394507,27.4880394507
20080501,984232,18.0,36918942,27.4880394507,27.4880394507
